Model,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199
Decision Tree,0.8089887640449438,0.8148148148148148,0.6470588235294118,0.7213114754098361,0.8560160427807486
Random Forest,0.8089887640449438,0.765625,0.7205882352941176,0.7424242424242424,0.8195855614973262
